4,4,11,84.8928252858,85,1
30,-5,-6,87.1320315024,87,1
84,16,-14,74.9518482272,75,2
28,-13,19,77.4534871886,77,2
44,8,-24,87.4337666851,87,1
39,11,-17,90.7843790989,91,1
22,23,-8,102.8435472105,103,1
25,-19,17,92.1988144234,92,1
51,14,13,60.7461445292,61,3
48,8,-9,67.7562168017,68,3
58,1,-14,71.2307077498,71,2
63,-24,0,68.4557354368,68,2
42,-12,-4,125.3986088467,125,1
70,-24,11,82.1539860579,82,1
24,-24,16,67.6280432877,68,3
94,-6,-19,72.6756862825,73,2
38,22,20,75.7670212519,76,2
0,-10,23,89.1400252331,89,1
57,-19,-12,57.6722447895,58,3
81,24,-5,67.8280998139,68,3
54,25,-23,49.903804543,50,3
45,11,4,87.4607807434,87,1
29,25,10,39.2754842443,39,3
14,-5,19,63.842569853,64,3
2,-10,2,67.9820671719,68,2
88,23,-18,68.5966841379,69,2
18,19,-17,64.9700561195,65,3
93,7,16,65.3283201234,65,3
43,-8,10,78.4546531769,78,2
47,17,-22,60.9864646236,61,3
95,16,16,71.2149478324,71,2
50,-10,-8,63.7770362768,64,3
99,-9,16,81.8909065909,82,1
36,12,-20,53.7920737883,54,3
67,25,5,76.8407244705,77,2
87,-13,11,49.0057247903,49,3
40,-2,-2,67.8608135802,68,3
34,-25,-19,107.9385665851,108,1
26,-22,24,89.896756841,90,1
86,12,-4,78.6275698924,79,2
31,25,-3,77.6771275817,78,2
52,-12,-15,75.1681222527,75,2
49,16,-8,55.435468256,55,3
83,8,-4,53.5474731845,54,3
73,11,19,63.0503145856,63,3
55,22,0,80.9579143096,81,1
77,-18,-22,63.8862376941,64,3
11,2,-25,60.7330958968,61,3
33,-7,-4,68.1540283325,68,2
35,4,22,71.4298200685,71,2
71,-21,7,53.1625737374,53,3
15,-3,-20,88.1295442207,88,1
21,4,-1,65.9185983242,66,3
66,13,-13,61.402861006,61,3
74,24,-16,132.7839649816,133,1
59,15,-10,72.7291304802,73,2
13,-4,4,63.5274206894,64,3
69,-21,-7,89.7194660078,90,1
60,-10,8,54.1978083262,54,3
61,5,-10,103.3360374435,103,1
76,9,20,78.0476043271,78,2
96,-25,-2,42.5293432989,43,3
6,-19,6,92.1884157586,92,1
62,-1,25,69.262310439,69,2
23,16,25,50.7972430884,51,3
9,-19,9,79.2957475036,79,2
98,12,11,99.75194488,100,1
97,-16,-23,58.4380093848,58,3
32,-1,11,78.7800359705,79,2
65,-23,-5,74.6818165976,75,2
46,16,19,88.6278629504,89,1
89,6,10,79.1554808072,79,2
3,6,24,62.4902197429,62,3
75,13,20,56.1236939451,56,3
85,-14,25,73.0064343083,73,2
56,22,-21,64.6240795807,65,3
92,-14,-14,92.6479217606,93,1
53,12,7,63.186288485,63,3
41,-2,5,86.0322466689,86,1
91,21,11,87.6792538524,88,1
10,16,-4,97.0985909679,97,1
80,15,-6,64.477126992,64,3
7,-19,-8,72.0268582642,72,2
5,2,-20,64.5718422224,65,3
1,-16,-3,52.8042262924,53,3
27,13,2,80.1000298296,80,2
64,-12,4,80.9919528808,81,1
79,9,11,62.6957660875,63,3
90,2,7,69.881343032,70,2
16,-23,4,74.4110971861,74,2
17,-17,-20,38.2186249633,38,3
68,1,22,85.0975858149,85,1
12,7,-11,77.5687625218,78,2
19,4,-17,70.0803866583,70,2
72,-7,6,66.7992940378,67,3
8,-24,-7,58.1893555767,58,3
20,20,-6,80.5361694708,81,2
37,-17,1,71.1901791284,71,2
78,-14,-19,67.8925819383,68,2
82,-18,-5,53.5196559249,54,3
